NVDA,NVIDIA Corporation,,176.75+3.25(+1.87%),+3.25,+1.87%,136.608M,194.416M,4.311T,57.20,+70.39%,
TSLA,"Tesla, Inc.",,325.59+9.53(+3.02%),+9.53,+3.02%,109.819M,109.077M,1.05T,192.66,+46.25%,
WBD,"Warner Bros. Discovery, Inc.",,13.70+0.21(+1.56%),+0.21,+1.56%,95.792M,58.088M,33.895B,--,+56.04%,
INTC,Intel Corporation,,20.68-0.02(-0.10%),-0.02,-0.10%,85.489M,80.372M,90.516B,--,-31.36%,
LCID,"Lucid Group, Inc.",,2.7900-0.1300(-4.45%),-0.1300,-4.45%,72.245M,153.271M,8.51B,--,-19.60%,
AAL,American Airlines Group Inc.,,11.58+0.08(+0.70%),+0.08,+0.70%,69.871M,60.772M,7.641B,13.79,+7.62%,
SMCI,"Super Micro Computer, Inc.",,60.05+5.58(+10.24%),+5.58,+10.24%,70.644M,45.654M,35.839B,32.64,-9.88%,
AMD,"Advanced Micro Devices, Inc.",,173.66+7.19(+4.32%),+7.19,+4.32%,67.534M,48.474M,281.572B,126.76,+25.44%,
PLTR,Palantir Technologies Inc.,,157.88-0.92(-0.58%),-0.92,-0.58%,63.478M,82.457M,372.583B,657.83,+498.71%,
QS,QuantumScape Corporation,,10.98-0.99(-8.27%),-0.99,-8.27%,56.433M,37.852M,6.215B,--,+67.89%,
SOFI,"SoFi Technologies, Inc.",,21.02-0.18(-0.85%),-0.18,-0.85%,58.156M,65.842M,23.235B,48.88,+183.29%,
F,Ford Motor Company,,11.28-0.19(-1.66%),-0.19,-1.66%,51.485M,91.786M,44.855B,9.02,+4.06%,
PBR,Petróleo Brasileiro S.A. - Petrobras,,12.55-0.05(-0.40%),-0.05,-0.40%,48.9M,22.363M,78.753B,9.37,-10.74%,
RIOT,"Riot Platforms, Inc.",,14.51-0.03(-0.21%),-0.03,-0.21%,47.595M,40.394M,5.184B,--,+39.92%,
VALE,Vale S.A.,,9.84-0.16(-1.60%),-0.16,-1.60%,44.953M,39.226M,43.051B,7.13,-7.95%,
NIO,NIO Inc.,,4.8300-0.0900(-1.83%),-0.0900,-1.83%,41.892M,43.958M,11.059B,--,+9.28%,
STLA,Stellantis N.V.,,9.70-0.43(-4.24%),-0.43,-4.24%,41.72M,19.459M,28.881B,--,-42.09%,
MARA,"MARA Holdings, Inc.",,17.16-0.09(-0.52%),-0.09,-0.52%,40.256M,48.84M,6.039B,--,-13.03%,
BBD,Banco Bradesco S.A.,,2.7500-0.0500(-1.79%),-0.0500,-1.79%,36.85M,41.13M,27.708B,9.17,+23.87%,
JOBY,"Joby Aviation, Inc.",,17.16-0.94(-5.19%),-0.94,-5.19%,35.978M,29.031M,14.44B,--,+181.77%,
NU,Nu Holdings Ltd.,,12.61-0.12(-0.94%),-0.12,-0.94%,33.463M,65.547M,60.836B,28.66,+4.91%,
QBTS,D-Wave Quantum Inc.,,18.35-0.52(-2.76%),-0.52,-2.76%,32.525M,70.787M,5.734B,--,"+1,821.47%",
KEY,KeyCorp,,18.44-0.13(-0.70%),-0.13,-0.70%,32.396M,16.854M,20.514B,--,+13.48%,
PSLV,Sprott Physical Silver Trust,,12.92-0.02(-0.15%),-0.02,-0.15%,32.056M,30.955M,6.808B,4.25,+33.33%,
CMG,"Chipotle Mexican Grill, Inc.",,44.86-1.90(-4.06%),-1.90,-4.06%,31.933M,14.046M,60.152B,39.70,-14.67%,
