date,open,high,low,close,adjusted_close,volume,symbol
2025-07-29,177.96,179.38,175.02,175.51,175.51,153716500,NVDA
2025-07-28,174.02,177.0,173.97,176.75,176.75,140023500,NVDA
2025-07-25,173.61,174.72,172.96,173.5,173.5,122316800,NVDA
2025-07-24,172.44,173.83,171.3,173.74,173.74,128984600,NVDA
2025-07-23,169.53,171.26,167.97,170.78,170.78,154082200,NVDA
2025-07-22,171.34,171.39,164.58,167.03,167.03,193114300,NVDA
2025-07-21,172.75,173.38,171.0,171.38,171.38,123126100,NVDA
2025-07-18,173.64,174.25,171.26,172.41,172.41,146456400,NVDA
2025-07-17,172.02,174.16,170.83,173.0,173.0,160841100,NVDA
2025-07-16,171.06,171.75,168.9,171.37,171.37,158831500,NVDA
2025-07-15,171.19,172.4,169.2,170.7,170.7,230627400,NVDA
2025-07-14,165.37,165.49,162.02,164.07,164.07,136975800,NVDA
2025-07-11,163.72,167.89,163.47,164.92,164.92,193633300,NVDA
2025-07-10,164.32,164.5,161.61,164.1,164.1,167704100,NVDA
2025-07-09,161.22,164.42,161.16,162.88,162.88,183656400,NVDA
2025-07-08,159.33,160.22,158.39,160.0,160.0,138133000,NVDA
2025-07-07,158.2,159.31,157.34,158.24,158.24,140139000,NVDA
2025-07-03,158.37,160.98,157.77,159.34,159.34,143716100,NVDA
2025-07-02,152.98,157.6,152.97,157.25,157.25,171224100,NVDA
2025-07-01,156.29,157.2,151.49,153.3,153.3,213143600,NVDA
2025-06-30,158.4,158.66,155.96,157.99,157.99,194580300,NVDA
2025-06-27,156.04,158.71,155.26,157.75,157.75,263234500,NVDA
2025-06-26,155.98,156.72,154.0,155.02,155.02,198145700,NVDA
2025-06-25,149.27,154.45,149.26,154.31,154.31,269146500,NVDA
2025-06-24,145.56,147.96,145.5,147.9,147.9,187566100,NVDA
2025-06-23,142.5,144.78,142.03,144.17,144.17,154308900,NVDA
2025-06-20,145.45,146.2,142.65,143.85,143.85,242956200,NVDA
2025-06-18,144.01,145.65,143.12,145.48,145.48,161494100,NVDA
2025-06-17,144.49,145.22,143.78,144.12,144.12,139108000,NVDA
2025-06-16,143.35,146.18,143.2,144.69,144.69,183133700,NVDA
2025-06-13,142.48,143.58,140.85,141.97,141.97,180820600,NVDA
2025-06-12,141.97,145.0,141.85,145.0,145.0,162365000,NVDA
2025-06-11,144.61,144.99,141.87,142.83,142.83,167694000,NVDA
2025-06-10,142.69,144.29,141.53,143.96,143.95,155881900,NVDA
2025-06-09,143.19,145.0,141.94,142.63,142.62,185114500,NVDA
2025-06-06,142.51,143.27,141.51,141.72,141.71,153986200,NVDA
2025-06-05,142.17,144.0,138.83,139.99,139.98,231397900,NVDA
2025-06-04,142.19,142.39,139.54,141.92,141.91,167120800,NVDA
2025-06-03,138.78,142.0,137.95,141.22,141.21,225578800,NVDA
2025-06-02,135.49,138.12,135.4,137.38,137.37,197663100,NVDA
2025-05-30,138.72,139.62,132.92,135.13,135.12,333170900,NVDA
2025-05-29,142.25,143.49,137.91,139.19,139.18,369241900,NVDA
2025-05-28,136.03,137.25,134.79,134.81,134.8,304021100,NVDA
2025-05-27,134.15,135.66,133.31,135.5,135.49,192953600,NVDA
2025-05-23,130.0,132.68,129.16,131.29,131.28,198821300,NVDA
2025-05-22,132.23,134.25,131.55,132.83,132.82,187344000,NVDA
2025-05-21,133.06,137.4,130.59,131.8,131.79,270608700,NVDA
2025-05-20,134.29,134.58,132.62,134.38,134.37,161514200,NVDA
2025-05-19,132.39,135.87,132.39,135.57,135.56,193154600,NVDA
2025-05-16,136.22,136.35,133.46,135.4,135.39,226542500,NVDA
2025-05-15,134.29,136.3,132.66,134.83,134.82,226632600,NVDA
2025-05-14,133.2,135.44,131.68,135.34,135.33,281180800,NVDA
