symbol,name,volume_value,volume_unit,avg_volume_3m_value,avg_volume_3m_unit,volume_value_scale_factor,avg_volume_3m_value_scale_factor
VICI,VICI Properties Inc.,5.553,M,5.759,M,1000000.0,1000000.0
LXP,LXP Industrial Trust,5.533,M,3.334,M,1000000.0,1000000.0
ONON,On Holding AG,5.53,M,5.126,M,1000000.0,1000000.0
ETR,Entergy Corporation,5.479,M,2.85,M,1000000.0,1000000.0
AR,Antero Resources Corporation,5.476,M,4.938,M,1000000.0,1000000.0
BHP,BHP Group Limited,5.462,M,3.081,M,1000000.0,1000000.0
VST,Vistra Corp.,5.473,M,5.584,M,1000000.0,1000000.0
VTRS,Viatris Inc.,5.444,M,12.852,M,1000000.0,1000000.0
REZI,"Resideo Technologies, Inc.",5.436,M,1.103,M,1000000.0,1000000.0
AGI,Alamos Gold Inc.,5.415,M,3.789,M,1000000.0,1000000.0
MRNA,"Moderna, Inc.",6.069,M,10.831,M,1000000.0,1000000.0
MAT,"Mattel, Inc.",5.376,M,4.109,M,1000000.0,1000000.0
TFC,Truist Financial Corporation,5.371,M,7.682,M,1000000.0,1000000.0
ABT,Abbott Laboratories,5.353,M,6.727,M,1000000.0,1000000.0
IP,International Paper Company,5.326,M,4.24,M,1000000.0,1000000.0
FTNT,"Fortinet, Inc.",5.32,M,4.574,M,1000000.0,1000000.0
SHEL,Shell plc,5.32,M,4.344,M,1000000.0,1000000.0
ALIT,"Alight, Inc.",5.306,M,7.151,M,1000000.0,1000000.0
KR,The Kroger Co.,5.296,M,7.125,M,1000000.0,1000000.0
QXO,"QXO, Inc.",5.294,M,8.975,M,1000000.0,1000000.0
DIS,The Walt Disney Company,5.263,M,9.607,M,1000000.0,1000000.0
MDT,Medtronic plc,5.32,M,7.787,M,1000000.0,1000000.0
TTD,"The Trade Desk, Inc.",5.996,M,11.147,M,1000000.0,1000000.0
MS,Morgan Stanley,5.23,M,5.697,M,1000000.0,1000000.0
INVH,Invitation Homes Inc.,5.228,M,3.358,M,1000000.0,1000000.0
RITM,Rithm Capital Corp.,5.212,M,4.205,M,1000000.0,1000000.0
FI,"Fiserv, Inc.",5.177,M,5.806,M,1000000.0,1000000.0
ORLY,"O'Reilly Automotive, Inc.",5.155,M,5.231,M,1000000.0,1000000.0
EXEL,"Exelixis, Inc.",5.145,M,3.641,M,1000000.0,1000000.0
QRVO,"Qorvo, Inc.",5.854,M,1.918,M,1000000.0,1000000.0
INSM,Insmed Incorporated,5.132,M,3.606,M,1000000.0,1000000.0
TME,Tencent Music Entertainment Group,5.132,M,6.646,M,1000000.0,1000000.0
SAN,"Banco Santander, S.A.",5.131,M,6.223,M,1000000.0,1000000.0
RDDT,"Reddit, Inc.",5.118,M,8.203,M,1000000.0,1000000.0
PEP,"PepsiCo, Inc.",9.712,M,9.74,M,1000000.0,1000000.0
PAGS,PagSeguro Digital Ltd.,5.057,M,6.107,M,1000000.0,1000000.0
EXLS,"ExlService Holdings, Inc.",5.048,M,2.178,M,1000000.0,1000000.0
IPG,"The Interpublic Group of Companies, Inc.",5.025,M,7.667,M,1000000.0,1000000.0
SCCO,Southern Copper Corporation,5.014,M,1.439,M,1000000.0,1000000.0
TEVA,Teva Pharmaceutical Industries Limited,24.986,M,11.98,M,1000000.0,1000000.0
PBR,Petróleo Brasileiro S.A. - Petrobras,24.767,M,22.438,M,1000000.0,1000000.0
AMZN,"Amazon.com, Inc.",31.722,M,41.276,M,1000000.0,1000000.0
PATH,UiPath Inc.,23.092,M,11.523,M,1000000.0,1000000.0
STLA,Stellantis N.V.,22.781,M,19.812,M,1000000.0,1000000.0
AGNC,AGNC Investment Corp.,23.757,M,25.066,M,1000000.0,1000000.0
HAL,Halliburton Company,22.408,M,15.655,M,1000000.0,1000000.0
UNH,UnitedHealth Group Incorporated,22.269,M,19.318,M,1000000.0,1000000.0
CLF,Cleveland-Cliffs Inc.,22.205,M,34.252,M,1000000.0,1000000.0
MDLZ,"Mondelez International, Inc.",22.04,M,7.232,M,1000000.0,1000000.0
OKLO,Oklo Inc.,22.0,M,21.514,M,1000000.0,1000000.0
RGTI,"Rigetti Computing, Inc.",22.612,M,53.793,M,1000000.0,1000000.0
ACHR,Archer Aviation Inc.,21.669,M,39.851,M,1000000.0,1000000.0
UPS,"United Parcel Service, Inc.",20.883,M,5.74,M,1000000.0,1000000.0
MO,"Altria Group, Inc.",20.474,M,8.744,M,1000000.0,1000000.0
APLD,Applied Digital Corporation,20.726,M,49.574,M,1000000.0,1000000.0
RIOT,"Riot Platforms, Inc.",21.011,M,40.093,M,1000000.0,1000000.0
RXRX,"Recursion Pharmaceuticals, Inc.",20.159,M,28.479,M,1000000.0,1000000.0
TER,"Teradyne, Inc.",19.832,M,3.455,M,1000000.0,1000000.0
CVE,Cenovus Energy Inc.,19.748,M,12.979,M,1000000.0,1000000.0
CNC,Centene Corporation,19.517,M,12.195,M,1000000.0,1000000.0
PYPL,"PayPal Holdings, Inc.",20.488,M,10.115,M,1000000.0,1000000.0
SOUN,"SoundHound AI, Inc.",19.03,M,37.932,M,1000000.0,1000000.0
CPNG,"Coupang, Inc.",18.973,M,10.961,M,1000000.0,1000000.0
DKNG,DraftKings Inc.,18.772,M,9.755,M,1000000.0,1000000.0
LYFT,"Lyft, Inc.",19.859,M,16.73,M,1000000.0,1000000.0
HL,Hecla Mining Company,18.288,M,21.888,M,1000000.0,1000000.0
UMC,United Microelectronics Corporation,18.151,M,8.719,M,1000000.0,1000000.0
ERIC,Telefonaktiebolaget LM Ericsson (publ),18.132,M,21.577,M,1000000.0,1000000.0
KMI,"Kinder Morgan, Inc.",18.11,M,13.762,M,1000000.0,1000000.0
RF,Regions Financial Corporation,17.971,M,10.155,M,1000000.0,1000000.0
VRT,Vertiv Holdings Co,17.935,M,7.271,M,1000000.0,1000000.0
SLB,Schlumberger Limited,17.931,M,15.938,M,1000000.0,1000000.0
OSCR,"Oscar Health, Inc.",17.527,M,23.719,M,1000000.0,1000000.0
RKT,"Rocket Companies, Inc.",17.393,M,15.946,M,1000000.0,1000000.0
GOOG,Alphabet Inc.,20.977,M,28.119,M,1000000.0,1000000.0
NOK,Nokia Oyj,16.811,M,18.514,M,1000000.0,1000000.0
UBER,"Uber Technologies, Inc.",16.793,M,21.379,M,1000000.0,1000000.0
AG,First Majestic Silver Corp.,16.655,M,23.496,M,1000000.0,1000000.0
MSFT,Microsoft Corporation,24.673,M,19.726,M,1000000.0,1000000.0
IONQ,"IonQ, Inc.",16.579,M,22.964,M,1000000.0,1000000.0
SBSW,Sibanye Stillwater Limited,16.521,M,10.733,M,1000000.0,1000000.0
