symbol,name,,price,change,change_%,volume,avg_vol_(3m),market_cap,p/e_ratio(ttm),52_wkchange_%,52_wk_range
LUMN,"Lumen Technologies, Inc.",,4.5900+0.1200(+2.68%),+0.1200,+2.68%,10.248M,10.891M,4.709B,--,+45.71%,
JCI,Johnson Controls International plc,,103.24-8.28(-7.42%),-8.28,-7.42%,11.326M,4.758M,67.937B,38.24,+44.31%,
FSM,Fortuna Mining Corp.,,6.77+0.09(+1.35%),+0.09,+1.35%,10.227M,15.515M,2.082B,13.02,+40.17%,
CDE,"Coeur Mining, Inc.",,9.20+0.11(+1.21%),+0.11,+1.21%,9.972M,14.275M,5.885B,31.72,+41.76%,
AVTR,"Avantor, Inc.",,14.01+0.02(+0.14%),+0.02,+0.14%,9.905M,11.942M,9.547B,13.47,-47.63%,
HST,"Host Hotels & Resorts, Inc.",,16.28-0.12(-0.73%),-0.12,-0.73%,10.746M,9.654M,11.447B,16.96,-7.02%,
NSC,Norfolk Southern Corporation,,277.70-8.72(-3.04%),-8.72,-3.04%,9.748M,1.707M,62.376B,18.76,+11.28%,
PONY,Pony AI Inc.,,13.53-1.26(-8.52%),-1.26,-8.52%,9.729M,13.659M,4.807B,--,+12.75%,
BRO,"Brown & Brown, Inc.",,91.91-10.67(-10.40%),-10.67,-10.40%,9.654M,3.329M,30.316B,26.49,-7.56%,
PINS,"Pinterest, Inc.",,38.32-0.20(-0.52%),-0.20,-0.52%,9.614M,10.736M,25.928B,14.09,+19.94%,
CVS,CVS Health Corporation,,60.00+0.36(+0.60%),+0.36,+0.60%,11.024M,8.461M,75.901B,14.32,-0.55%,
TTD,"The Trade Desk, Inc.",,84.53-3.93(-4.44%),-3.93,-4.44%,10.394M,11.231M,41.329B,103.09,-5.95%,
PG,The Procter & Gamble Company,,156.61-0.50(-0.32%),-0.50,-0.32%,9.521M,8.032M,366.781B,24.06,-2.58%,
NOV,NOV Inc.,,13.03-1.13(-7.98%),-1.13,-7.98%,10.204M,4.029M,4.896B,8.74,-37.42%,
