symbol,name,,price,change,change_%,volume,avg_vol_(3m),market_cap,p/e_ratio(ttm),52_wkchange_%,52_wk_range
VICI,VICI Properties Inc.,,32.53-0.34(-1.03%),-0.34,-1.03%,5.553M,5.759M,34.375B,12.46,+3.80%,
LXP,LXP Industrial Trust,,7.88-0.19(-2.35%),-0.19,-2.35%,5.533M,3.334M,2.337B,29.19,-21.90%,
ONON,On Holding AG,,50.68-1.07(-2.07%),-1.07,-2.07%,5.53M,5.126M,16.528B,64.15,+25.91%,
ETR,Entergy Corporation,,89.29+1.05(+1.19%),+1.05,+1.19%,5.479M,2.85M,39.86B,22.16,+47.81%,
AR,Antero Resources Corporation,,33.82+0.09(+0.27%),+0.09,+0.27%,5.476M,4.938M,10.502B,43.92,+17.55%,
BHP,BHP Group Limited,,50.65-2.06(-3.91%),-2.06,-3.91%,5.462M,3.081M,133.757B,11.75,-6.65%,
VST,Vistra Corp.,,207.05+9.05(+4.57%),+9.05,+4.57%,5.473M,5.584M,70.259B,32.76,+172.29%,
VTRS,Viatris Inc.,,9.00-0.19(-2.07%),-0.19,-2.07%,5.444M,12.852M,10.563B,--,-24.75%,
REZI,"Resideo Technologies, Inc.",,28.52+3.97(+16.17%),+3.97,+16.17%,5.436M,1.103M,4.235B,95.07,+33.21%,
AGI,Alamos Gold Inc.,,25.37-0.31(-1.21%),-0.31,-1.21%,5.415M,3.789M,10.725B,40.92,+46.06%,
MRNA,"Moderna, Inc.",,32.15-0.51(-1.56%),-0.51,-1.56%,6.069M,10.831M,12.434B,--,-65.86%,
MAT,"Mattel, Inc.",,17.15-0.26(-1.49%),-0.26,-1.49%,5.376M,4.109M,5.526B,11.14,-10.54%,
TFC,Truist Financial Corporation,,44.26-0.47(-1.05%),-0.47,-1.05%,5.371M,7.682M,57.071B,11.99,+2.10%,
ABT,Abbott Laboratories,,128.55+0.54(+0.42%),+0.54,+0.42%,5.353M,6.727M,223.656B,16.13,+16.70%,
IP,International Paper Company,,53.63-0.81(-1.49%),-0.81,-1.49%,5.326M,4.24M,28.311B,45.84,+15.01%,
FTNT,"Fortinet, Inc.",,101.71-3.06(-2.92%),-3.06,-2.92%,5.32M,4.574M,77.85B,41.86,+77.81%,
SHEL,Shell plc,,71.72-1.39(-1.90%),-1.39,-1.90%,5.32M,4.344M,210.77B,16.37,-1.67%,
ALIT,"Alight, Inc.",,5.39-0.15(-2.71%),-0.15,-2.71%,5.306M,7.151M,2.956B,--,-26.57%,
KR,The Kroger Co.,,69.300.00(0.00%),0.00,0.00%,5.296M,7.125M,45.818B,18.88,+25.79%,
