market_type,region,primary_exchanges,local_open,local_close,current_status,notes
Equity,United States,"NASDAQ",09:30,16:15,closed,
Equity,United States,"NYSE",09:30,16:15,closed,
Equity,United States,"NYSE American",09:30,16:15,closed,
Equity,United States,"AMEX",09:30,16:15,closed,
Equity,United States,"BATS",09:30,16:15,closed,
Equity,United States,"NasdaqGS",09:30,16:15,closed,
Equity,United States,"NasdaqCM",09:30,16:15,closed,
Equity,United States,"NasdaqGM",09:30,16:15,closed,
Equity,Canada,"Toronto",09:30,16:00,closed,
Equity,Canada,"Toronto Ventures",09:30,16:00,closed,
Equity,United Kingdom,London,08:00,16:30,closed,
Equity,Germany,"XETRA",08:00,20:00,closed,
Equity,Germany,"Berlin",08:00,20:00,closed,
Equity,Germany,"Frankfurt",08:00,20:00,closed,
Equity,Germany,"Munich",08:00,20:00,closed,
Equity,Germany,"Stuttgart",08:00,20:00,closed,
Equity,France,Paris,09:00,17:30,closed,
Equity,Spain,"Barcelona",09:00,17:30,closed,
Equity,Spain,"Madrid",09:00,17:30,closed,
Equity,Portugal,Lisbon,08:00,16:30,closed,
Equity,Japan,Tokyo,09:00,15:00,open,Noon trading break from 11:30 to 12:30 local time
Equity,India,"NSE",09:15,15:30,closed,
Equity,India,"BSE",09:15,15:30,closed,
Equity,Mainland China,"Shanghai",09:30,15:00,open,Noon trading break from 11:30 to 13:00 local time
Equity,Mainland China,"Shenzhen",09:30,15:00,open,Noon trading break from 11:30 to 13:00 local time
Equity,Hong Kong,Hong Kong,09:30,16:00,open,Noon trading break from 12:00 to 13:00 local time
Equity,Brazil,Sao Paolo,10:00,17:30,closed,
Equity,Mexico,Mexico,08:30,15:00,closed,
Equity,South Africa,Johannesburg,09:00,17:00,closed,
Forex,Global,Global,00:00,23:59,open,"The forex market is open 24 hours a day, EXCEPT between 16:00 EST on Friday and 17:00 EST on Sunday"
Cryptocurrency,Global,Global,00:00,23:59,open,The cryptocurrency market is open 24 hours a day
